timestamp,theta,delta,attention,meditation,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,poor_signal,blink_strength,IBI,BPM,SDNN_over_RMSSD,CVNN,SDNN,RMSSD,pNN10,pNN20,pNN30,pNN40,pNN50,LF,HF,LF_over_HF,stimu_num,event
2023-07-12_17:39:33.466567,4335,18684,61,100,38163,17798,6776,9037,8128,2515,0,0,774,78,0.807227517,0.127910863,95.35328463,118.124423,0.8,0.766666667,0.666666667,0.6,0.5,0,0,0,0,
2023-07-12_17:39:34.494798,8025,9017,53,100,7024,780,2257,1771,1541,892,0,0,880,77,0.822923933,0.129870282,96.99578456,117.8672544,0.8,0.766666667,0.666666667,0.6,0.533333333,0,0,0,0,
2023-07-12_17:39:35.518818,3083,35646,51,100,5878,1448,3590,2266,1573,573,0,0,826,76,0.841784572,0.13140476,98.77257829,117.3371212,0.766666667,0.733333333,0.633333333,0.566666667,0.466666667,0,0,0,0,
2023-07-12_17:39:36.549183,19762,170072,56,96,10553,8446,9996,11916,14009,4007,0,0,888,75,0.855445897,0.133801836,100.8330634,117.8719352,0.766666667,0.733333333,0.633333333,0.566666667,0.5,0,0,0,0,
2023-07-12_17:39:37.580555,4514,15609,69,84,6866,3663,2539,9740,2770,977,0,0,878,74,0.880140307,0.135918074,102.7087576,116.6958912,0.766666667,0.733333333,0.633333333,0.566666667,0.5,0,0,0,0,
2023-07-12_17:39:38.603341,5909,12886,84,75,1210,3041,6169,7145,5731,1680,0,0,802,72,0.877998543,0.135693631,102.8829108,117.1789083,0.766666667,0.733333333,0.633333333,0.566666667,0.5,0,0,0,0,
2023-07-12_17:39:39.627766,43323,25158,69,67,17470,2164,4166,2307,1117,613,0,0,908,72,0.897499942,0.139411805,106.3154426,118.4573254,0.766666667,0.733333333,0.633333333,0.566666667,0.5,0,0,0,0,
2023-07-12_17:39:40.653232,4252,15258,81,67,2087,13400,9766,22452,2999,1672,0,0,850,70,0.993032714,0.142003323,108.6893432,109.4519261,0.8,0.733333333,0.633333333,0.566666667,0.466666667,0,0,0,0,
2023-07-12_17:39:41.681242,17931,70284,78,60,4466,3267,7933,11465,7831,2825,0,0,802,70,0.942329179,0.133927331,103.4811845,109.8142633,0.8,0.733333333,0.633333333,0.566666667,0.433333333,0,0,0,0,
2023-07-12_17:39:42.709546,13407,26836,69,69,14221,11219,10400,9058,4009,2363,0,0,848,70,0.891097519,0.125598209,98.15081366,110.1459846,0.833333333,0.766666667,0.666666667,0.6,0.433333333,0,0,0,0,
2023-07-12_17:39:43.729570,22131,15401,83,64,2280,4710,6319,6675,11987,3048,0,0,862,70,0.835028943,0.11634858,92.00070048,110.1766606,0.866666667,0.766666667,0.666666667,0.6,0.433333333,0,0,0,0,
2023-07-12_17:39:44.767669,18569,12799,74,60,6201,4323,6305,9482,3113,2782,0,0,800,71,0.70002398,0.085085257,68.55602737,97.93382706,0.9,0.8,0.666666667,0.6,0.466666667,0,0,0,0,
2023-07-12_17:39:45.820251,27130,74453,57,53,1526,1444,3747,1936,3218,618,0,0,824,71,0.704345149,0.085099012,68.57278372,97.35679138,0.9,0.8,0.633333333,0.566666667,0.433333333,0,0,0,0,
2023-07-12_17:39:46.843077,20181,134743,66,47,13311,5032,6691,26777,5029,2117,0,0,810,71,0.699289972,0.084269674,68.04495246,97.30577472,0.9,0.766666667,0.6,0.533333333,0.4,0,0,0,0,
2023-07-12_17:39:47.864557,13275,10584,69,53,11282,5072,10212,9925,5811,5631,0,0,776,72,0.696124279,0.082953147,67.08697506,96.3721236,0.9,0.766666667,0.633333333,0.533333333,0.4,0,0,0,0,
2023-07-12_17:39:48.886969,34054,79452,54,48,3554,2550,2095,2004,1413,400,0,0,798,74,0.698496845,0.083020282,67.04164543,95.97988295,0.9,0.766666667,0.633333333,0.5,0.366666667,0,0,0,0,
2023-07-12_17:39:49.913279,4604,53224,77,63,9973,3569,5959,16151,8031,9574,0,0,784,74,0.697058616,0.082594231,66.74715142,95.75543561,0.9,0.733333333,0.6,0.466666667,0.333333333,0,0,0,0,
